,customer_id,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,months_on_book,total_relationship_count,credit_limit,total_revolving_bal,active_customer
0,768805383,45,M,3,1,married,2,blue,39,5,12691.0,777,True
1,818770008,49,F,5,2,single,0,blue,44,6,8256.0,864,True
2,713982108,51,M,3,2,married,3,blue,36,4,3418.0,0,True
4,709106358,40,M,3,0,married,2,blue,21,5,4716.0,0,True
5,713061558,44,M,2,2,married,1,blue,36,3,4010.0,1247,True
8,710930508,37,M,3,0,single,2,blue,36,5,22352.0,2517,True
9,719661558,48,M,2,2,single,3,blue,36,6,11656.0,1677,True
12,710599683,56,M,1,3,single,3,blue,36,3,11751.0,0,True
14,712396908,57,F,2,2,married,0,blue,48,5,2436.0,680,True
16,709967358,48,M,4,4,single,3,blue,36,6,30367.0,2362,True
18,806160108,61,M,1,1,married,1,blue,56,2,3193.0,2517,True
20,806165208,47,M,1,5,divorced,2,blue,42,5,20979.0,1800,True
21,708508758,62,F,0,2,married,0,blue,49,2,1438.3,0,False
22,784725333,41,M,3,1,married,1,blue,33,4,4470.0,680,True
25,771071958,41,F,3,2,single,0,blue,28,6,7768.0,1669,True
29,806624208,47,M,4,1,married,1,blue,42,6,4785.0,1362,True
31,712991808,53,M,2,0,married,2,blue,48,2,2451.0,1690,True
32,709029408,41,M,4,2,married,2,blue,36,4,8923.0,2517,True
33,788658483,53,F,2,3,married,0,blue,38,5,2650.0,1490,True
34,787937058,58,M,0,2,married,3,blue,49,6,12555.0,1696,True
35,715318008,55,F,1,3,single,0,blue,36,4,3520.0,1914,True
36,713962233,55,F,3,2,married,0,blue,36,6,3035.0,2298,True
37,785432733,42,F,4,1,married,0,gold,36,2,15433.0,0,True
40,827111283,45,M,3,2,single,3,blue,41,2,32426.0,578,True
42,773146383,50,F,1,3,single,1,silver,43,3,17304.0,2517,True
43,778493808,49,M,3,1,married,2,blue,37,5,3906.0,0,True
45,712661433,49,M,4,0,single,3,blue,30,3,34516.0,0,True
46,789172683,56,M,2,5,married,2,blue,45,6,2283.0,1430,True
47,738406533,59,M,1,5,married,1,blue,52,3,2548.0,2020,True
48,799723908,46,M,3,1,married,3,blue,40,4,19458.0,1435,True
49,771490833,52,M,1,3,single,3,blue,40,5,4745.0,1227,True
51,779471883,54,F,1,2,married,0,blue,40,2,1438.3,808,False
52,711525033,66,F,0,1,married,0,blue,54,3,3171.0,2179,True
54,714374133,56,M,2,2,married,4,blue,36,1,15769.0,0,False
56,716632758,49,F,3,2,single,0,blue,36,2,2802.0,2363,True
57,768563658,56,M,2,0,married,1,blue,50,4,4458.0,1880,True
59,714091983,42,M,2,1,single,2,blue,34,4,3336.0,1753,True
61,712030833,48,M,2,2,married,2,silver,35,2,34516.0,0,False
62,711481533,39,M,1,1,divorced,2,blue,33,5,5926.0,1251,True
63,710082708,44,M,4,4,single,4,blue,32,2,23957.0,2102,True
64,708155733,53,M,2,1,single,4,blue,44,4,14734.0,1634,True
65,788979258,51,M,4,0,single,3,silver,38,4,34516.0,1515,True
66,807986133,57,M,2,3,married,2,blue,52,5,6584.0,1817,True
67,788730933,44,F,2,0,single,0,blue,20,6,2084.0,1468,True
68,711314058,49,M,2,2,married,2,blue,32,2,1687.0,1107,True
69,717975333,50,M,2,5,married,3,blue,38,6,25300.0,1330,True
70,715971108,51,M,4,2,single,4,blue,42,3,34516.0,1763,True
71,720096558,55,F,2,2,married,0,blue,42,5,2216.0,1034,True
73,820582308,42,M,5,0,married,3,blue,37,6,22913.0,1528,True
74,789973308,44,M,1,3,single,2,blue,35,3,24312.0,1932,True
75,712876233,53,M,2,2,single,3,blue,36,5,5272.0,1515,True
76,804595158,44,F,4,2,single,0,blue,36,6,7000.0,2517,True
77,714826758,37,F,3,0,single,0,blue,29,4,7038.0,1801,True
78,779058108,49,M,3,2,divorced,2,blue,30,6,2536.0,1823,True
79,710790258,47,M,2,2,married,3,blue,38,6,28904.0,1899,True
80,715623483,47,M,3,2,married,2,blue,37,4,8567.0,1695,True
84,794543958,53,M,1,2,divorced,3,blue,35,5,34516.0,1219,True
85,716396358,52,M,2,2,married,2,blue,47,5,3085.0,1910,True
86,715398033,53,M,2,1,single,4,blue,35,4,19040.0,2056,True
87,711743883,43,F,3,0,single,0,blue,35,5,4026.0,0,True
88,719720058,44,M,3,1,single,2,blue,31,4,12756.0,837,True
90,717539808,51,F,2,1,single,0,blue,36,3,9930.0,0,True
91,714070758,49,M,4,1,single,3,blue,38,4,31302.0,1953,True
92,714107958,45,M,1,2,single,1,blue,36,4,6576.0,0,True
93,789140283,53,M,0,2,single,3,blue,42,5,2664.0,2037,True
95,719712633,64,M,1,2,married,0,blue,52,6,1709.0,895,True
96,772629333,45,M,3,2,married,1,blue,35,5,3454.0,1200,True
97,720336708,53,M,3,5,married,1,blue,35,5,3789.0,1706,True
98,802013583,56,M,3,3,married,4,blue,50,3,9689.0,2250,True
102,779155158,53,M,3,2,married,4,blue,34,6,2940.0,1264,True
103,721091583,44,F,2,2,single,0,blue,32,3,3031.0,1879,True
105,716657058,43,F,4,4,married,0,blue,33,2,8358.0,926,True
106,779509983,53,M,2,4,single,4,blue,36,6,34516.0,931,True
107,717929133,44,M,1,0,married,2,blue,36,5,14450.0,2440,True
110,710916408,57,M,4,2,married,2,blue,39,4,8466.0,1886,True
112,799825758,42,M,4,1,divorced,2,blue,36,5,3263.0,1674,True
113,718619883,54,F,0,0,married,0,blue,36,2,1494.0,706,True
114,711844758,48,M,3,2,single,3,blue,35,6,13551.0,1294,True
115,714798783,49,M,1,2,single,3,blue,36,6,18886.0,895,True
117,771894558,50,M,3,1,single,3,blue,39,4,9964.0,1559,True
118,721074183,49,M,1,5,married,2,blue,36,4,24159.0,1196,True
119,715259583,53,F,2,1,married,0,blue,44,3,5362.0,1901,True
120,718414008,50,M,2,2,single,4,blue,36,3,34516.0,1023,True
121,719666283,55,F,1,5,married,0,blue,36,4,3174.0,1951,True
122,714877233,53,M,1,1,married,3,blue,47,3,12262.0,1836,True
123,785387883,47,F,3,1,single,1,blue,41,4,3788.0,1540,True
124,771075258,55,M,2,3,single,4,silver,42,2,34516.0,1527,True
125,711318033,47,M,3,2,single,2,blue,36,4,2926.0,0,True
126,783554958,58,M,4,2,single,4,blue,52,6,32090.0,0,True
127,720201033,53,M,2,2,married,3,blue,41,3,11669.0,2227,False
128,718039683,52,M,2,1,single,1,blue,45,3,13532.0,1300,True
130,714752208,42,F,1,2,married,0,blue,36,5,2393.0,1985,True
132,714490308,57,M,4,2,married,3,blue,46,3,19270.0,1662,True
133,713356833,52,M,1,2,married,3,blue,43,3,3710.0,2517,True
134,711402333,47,M,2,5,single,0,blue,37,2,3235.0,797,True
135,708296883,44,F,3,2,single,1,blue,38,3,11749.0,788,True
136,719154483,53,M,2,1,divorced,2,blue,36,5,7753.0,2100,True
137,717721458,45,M,4,3,divorced,2,blue,40,5,10408.0,1186,True
139,715674483,39,F,2,4,single,0,blue,27,4,6205.0,2517,True
140,789322833,48,F,5,1,married,0,blue,38,1,8025.0,0,False
142,709919283,54,M,4,2,married,3,blue,34,2,14926.0,2517,True
143,718744008,59,F,1,2,single,0,blue,36,3,6335.0,1128,True
144,767712558,59,M,1,3,single,2,blue,53,2,14979.0,0,False
145,712950783,48,F,4,0,married,0,blue,38,3,2732.0,0,False
146,716104983,41,F,2,2,single,0,blue,32,6,2250.0,2117,True
147,818839983,55,M,2,2,married,4,blue,50,3,10916.0,1536,True
149,712350858,41,M,2,1,married,3,blue,24,4,9366.0,1104,True
150,711009708,40,M,3,1,single,3,blue,28,5,21617.0,0,True
152,712215258,50,F,1,2,single,1,silver,31,2,18386.0,0,True
153,773827008,47,M,4,0,single,2,blue,41,6,2405.0,1540,True
154,795232683,53,F,1,3,married,0,blue,47,4,2154.0,930,True
156,713539833,48,F,4,1,single,1,blue,38,6,8135.0,0,True
157,712454058,49,M,1,5,married,4,blue,38,6,9364.0,618,True
159,718803333,43,F,4,2,divorced,0,blue,34,2,3195.0,1954,True
160,720253908,56,M,0,1,married,3,blue,43,5,2852.0,1024,True
162,713187033,46,M,1,0,married,2,blue,36,3,20459.0,2071,True
164,772426383,50,F,4,0,married,1,blue,40,5,3065.0,1570,True
165,710975883,51,F,3,0,married,0,blue,43,3,2185.0,1761,True
166,714264408,47,F,3,0,married,0,blue,36,4,1611.0,746,True
167,715827858,58,F,4,0,married,0,blue,47,3,2822.0,2173,True
168,713741358,46,M,5,2,single,3,blue,33,6,32975.0,2517,False
169,709531908,53,M,3,1,married,2,blue,47,5,1438.3,0,True
171,714141108,52,F,1,1,married,0,blue,45,6,6703.0,893,True
173,712608783,50,M,2,1,married,3,silver,45,3,34516.0,1260,True
174,820353558,41,F,3,1,married,1,blue,36,4,9797.0,1434,True
175,714964758,45,F,5,2,divorced,1,blue,36,5,10400.0,1777,True
176,716264358,53,M,3,0,married,3,blue,42,2,26792.0,1836,True
177,717296808,67,F,1,2,married,0,blue,56,4,3006.0,2517,True
178,712977183,57,F,2,0,single,1,silver,36,6,19482.0,1072,True
179,710829108,59,F,1,0,married,1,blue,36,4,3356.0,985,True
180,779562633,45,M,2,0,married,1,blue,34,3,5771.0,2248,True
181,715315833,51,M,3,2,married,3,blue,36,6,11106.0,2107,True
182,815500983,59,F,1,0,married,0,blue,54,5,2890.0,2001,True
183,719360583,53,M,1,2,married,2,blue,45,6,3380.0,1701,True
184,709701558,47,M,3,2,married,2,blue,36,2,21331.0,1251,True
186,779862408,49,M,3,4,single,3,blue,33,3,6278.0,462,True
187,812627208,60,F,0,3,single,0,blue,55,5,1438.3,738,True
188,711033408,50,F,2,1,married,0,blue,36,5,9355.0,1626,True
190,780376683,57,M,1,2,married,3,blue,47,5,14612.0,1976,True
192,714454758,57,F,3,2,married,0,blue,47,4,6347.0,1594,True
193,780466533,54,M,3,5,married,4,blue,41,3,21592.0,1676,True
194,715735233,51,F,5,4,married,0,blue,44,5,3449.0,1598,True
195,720476733,47,F,3,1,married,0,blue,34,2,6028.0,799,True
197,712375758,53,M,3,0,married,3,blue,43,3,16393.0,1423,True
198,708868233,68,M,0,1,married,0,blue,52,1,1438.3,900,False
199,718030083,59,M,1,3,married,2,blue,36,4,7871.0,1687,True
201,771698658,44,M,5,2,married,2,blue,32,4,11376.0,2006,True
202,748326258,48,M,3,3,married,3,blue,41,4,12302.0,1632,True
203,770817783,47,M,4,2,married,2,silver,33,3,34516.0,1679,True
204,779353083,47,M,2,2,married,2,silver,32,4,34516.0,1468,True
205,711441333,43,F,1,1,divorced,0,silver,35,3,10514.0,1580,True
206,719808558,55,F,2,2,married,0,blue,43,2,1438.3,0,False
207,711551958,59,M,2,4,married,2,blue,46,3,1438.3,0,False
208,809164083,63,M,1,2,married,1,blue,56,2,2619.0,1779,True
209,820596183,58,M,2,3,married,4,blue,53,2,24407.0,2395,True
210,715999608,53,F,2,1,married,0,blue,36,4,2377.0,1649,True
212,805543158,52,M,3,2,married,4,blue,47,5,11086.0,2207,True
213,709752183,48,M,3,1,single,2,blue,36,4,11432.0,2517,True
214,716479233,43,M,4,1,married,1,blue,36,5,13258.0,1721,True
215,713837058,48,M,2,3,single,0,blue,36,3,2571.0,1955,True
216,718876683,43,F,4,2,single,0,blue,31,5,5781.0,1168,True
218,794843883,41,M,3,1,married,3,blue,35,6,34516.0,1202,True
219,803043933,44,F,3,0,divorced,0,silver,38,4,11127.0,1835,True
221,714606558,60,F,1,0,married,0,blue,36,5,1913.0,1272,True
222,778425408,44,M,4,2,single,3,blue,24,5,3839.0,2295,True
223,714171108,48,F,3,2,divorced,1,blue,39,6,2115.0,1141,True
224,719662458,44,F,2,2,divorced,0,blue,27,5,1438.3,679,True
225,713137233,41,M,2,1,single,3,blue,28,4,27756.0,1789,True
226,769425858,45,M,3,3,single,2,blue,32,4,1438.3,0,True
227,711297483,47,F,2,0,divorced,0,silver,34,6,13878.0,2222,True
228,788900883,51,F,2,2,married,0,blue,36,3,3106.0,1304,True
229,758348808,51,M,2,2,married,4,blue,44,4,34516.0,1666,True
230,772336458,60,F,1,0,married,1,blue,50,4,1438.3,1025,False
